Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,,,,24-06-2024 13:44:55,24-06-2024 13:44:56,0.984s,ERROR
,,,,,,,
Test Cases/Android Level Up/TC_Login,,,,24-06-2024 13:44:56,24-06-2024 13:44:56,0.161s,ERROR
