Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,,,,24-06-2024 13:38:00,24-06-2024 13:38:01,0.928s,ERROR
,,,,,,,
Test Cases/Android Level Up/TC_Login,,,,24-06-2024 13:38:01,24-06-2024 13:38:01,0.118s,ERROR
