Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,,,,24-06-2024 13:39:13,24-06-2024 13:39:15,1.223s,ERROR
,,,,,,,
Test Cases/Android Level Up/TC_Login,,,,24-06-2024 13:39:14,24-06-2024 13:39:15,0.128s,ERROR
